city,lat
London,51.5072
Birmingham,52.48
Manchester,53.4794
Liverpool,53.4075
Portsmouth,50.8058
Southampton,50.9025
Nottingham,52.9533
Bristol,51.4536
Leicester,52.6344
Coventry,52.4081
Belfast,54.5964
Stockport,53.4083
Bradford,53.8
Plymouth,50.3714
Derby,52.9217
Westminster,51.4947
Wolverhampton,52.5833
Norwich,52.6286
Luton,51.8783
Solihull,52.413
Islington,51.544
Aberdeen,57.15
Croydon,51.3727
Bournemouth,50.72
Basildon,51.58
Ilford,51.5575
Warrington,53.39
Kingswood,51.46
Oxford,51.7519
Harrow,51.5836
West Bromwich,52.519
Gloucester,51.8644
Blackpool,53.8142
Sale,53.424
Tottenham,51.5975
Cambridge,52.2053
Romford,51.5768
Colchester,51.8917
High Wycombe,51.6287
Gateshead,54.95
Slough,51.5084
Blackburn,53.748
Chelmsford,51.73
Rochdale,53.6136
Rotherham,53.43
Walthamstow,51.584
Maidstone,51.272
Basingstoke,51.2667
Salford,53.483
Hounslow,51.4668
Wembley,51.5528
Worcester,52.1911
Hammersmith,51.4928
Rayleigh,51.5864
Hemel Hempstead,51.7526
Bath,51.38
Darlington,54.527
Hove,50.8352
Hastings,50.85
Watford,51.655
Stevenage,51.9017
Hartlepool,54.69
Chester,53.19
Fulham,51.4828
Nuneaton,52.523
Ealing,51.5175
Hayes,51.5127
Aylesbury,51.8168
Edmonton,51.6154
Saint Albans,51.755
Burnley,53.789
Batley,53.7167
Scunthorpe,53.5809
Dudley,52.508
Brixton,51.4575
Paisley,55.8456
Chatham,51.37
Edgware,51.6185
East Ham,51.5323
Weston-super-Mare,51.346
Carlisle,54.891
South Shields,54.995
East Kilbride,55.7644
Burton upon Trent,52.8019
Harrogate,53.9919
Crewe,53.099
Lowestoft,52.48
Rugby,52.37
Chingford,51.623
Uxbridge,51.5404
Southall,51.5121
Walsall,52.58
Grays,51.475
Walton upon Thames,51.3868
Thornton Heath,51.4002
Finchley,51.599
Kensington,51.5
Boston,52.974
Paignton,50.4353
Waterlooville,50.88
Hornchurch,51.5565
Merthyr Tudful,51.743
Mitcham,51.4009
Feltham,51.4496
Stourbridge,52.4575
Hereford,52.056
Rochester,51.375
Dewsbury,53.691
Acton,51.5135
Twickenham,51.449
Scarborough,54.2773
Wrecsam,53.046
Wandsworth,51.455
Ellesmere Port,53.279
Bangor,54.66
Taunton,51.019
Loughborough,52.77
Barking,51.54
Littlehampton,50.8094
Ruislip,51.576
Streatham,51.4279
Royal Tunbridge Wells,51.132
Bebington,53.35
Barrow in Furness,54.1108
Macclesfield,53.25
Wellingborough,52.2939
Kettering,52.3931
Braintree,51.878
Royal Leamington Spa,52.292
Dunfermline,56.0719
Altrincham,53.3838
Lancaster,54.0489
Crosby,53.4872
Barri,51.405
Bootle,53.4457
Stratford,51.5423
Folkestone,51.081
Cumbernauld,55.945
Andover,51.208
Neath,51.66
Rowley Regis,52.488
Leith,55.98
Yeovil,50.9452
Eltham,51.451
Sutton in Ashfield,53.125
Morden,51.4015
Barnet,51.6444
West Bridgford,52.932
Stretford,53.4466
Beckenham,51.408
Greenford,51.5299
Cheshunt,51.702
Salisbury,51.07
Ashton,53.4897
Surbiton,51.394
Catford,51.4452
Worksop,53.3042
Morley,53.7492
Middleton,53.555
Fleet,51.2834
Fareham,50.85
Urmston,53.4487
Sutton,51.3656
Caerphilly,51.578
Bridgwater,51.128
Newbury,51.401
Welling,51.4594
Kirkby,53.48
Ramsgate,51.336
Castleford,53.716
Strood,51.393
Cleethorpes,53.5533
Ilkeston,52.971
Chorley,53.653
Herne Bay,51.37
Bishops Stortford,51.872
Arnold,53.005
Coalville,52.724
Bletchley,51.994
Leighton Buzzard,51.9165
Airdrie,55.86
Blyth,55.126
Laindon,51.574
Llanelli,51.684
Bicester,51.9
Beeston,52.927
Small Heath,52.4629
Whitley Bay,55.0456
Denton,53.4554
Falkirk,56.0011
Walkden,53.5239
Kenton,51.5878
