Name,Season,Gender,Age,Height,Entered,Finalist,Loyalty
Malia Arkian,2,False,26,66,7,False,0.3005978338130472
Ben Porter,1,True,24,71,32,False,0.3005978338130472
Poppy Farnan,1,False,22,66,32,False,0.3005978338130472
Oliver Maxwell Fernandez,2,True,25,74,30,False,0.3005978338130472
Shannon Singh,7,False,22,68,1,False,0.3005978338130472
James Khan,2,True,20,75,18,False,0.3005978338130472
Amelia Peters,3,False,18,68,26,False,0.3005978338130472
Ellisha-Jade White,3,False,22,66,26,False,0.3005978338130472
Marino Katsouris,3,True,22,71,26,False,0.3005978338130472
Rob Lipsett,3,True,25,69,26,False,0.3005978338130472
Shannen McGrath,3,False,23,65,26,False,0.3005978338130472
Steve Ball,3,True,25,71,26,False,0.3005978338130472
Georgia Townend,7,False,28,67,23,False,0.3005978338130472
Oliver Wallis,7,True,23,69,4,False,0.3005978338130472
David Salako,9,True,24,71,3,False,0.3005978338130472
Chris Baxter,1,True,20,71,11,False,0.3333333333333333
John Alberti,1,True,29,73,3,False,0.3005978338130472
Tony Alberti,1,True,29,73,3,False,0.3005978338130472
Alexi Eraclides,6,True,23,70,23,False,0.3005978338130472
Biggs Chris,6,True,27,68,23,False,0.3005978338130472
George Day,6,True,27,67,23,False,0.3005978338130472
Jade Affleck,6,False,25,69,23,False,0.3005978338130472
Jamie McCann,6,False,25,63,23,False,0.3005978338130472
Josh Kempton,6,True,21,73,23,False,0.3005978338130472
Ollie Williams,6,True,23,70,1,False,0.3333333333333333
Harry Young,7,True,24,71,29,False,0.3005978338130472
Jack Barlow,7,True,26,70,29,False,0.3005978338130472
Kaila Troy,7,False,28,67,29,False,0.3005978338130472
Lillie Haynes,7,False,22,64,29,False,0.3005978338130472
Medhy Malanda,7,True,24,74,29,False,0.3005978338130472
Salma Naran,7,False,20,64,29,False,0.3005978338130472
Remi Lambert,8,True,22,75,9,False,0.3005978338130472
Cynthia Otseh-Taiwo,9,False,25,65,29,False,0.3005978338130472
Layla Al-Momani,9,False,28,63,29,False,0.3005978338130472
Lydia Karakyriakou,9,False,22,67,29,False,0.3005978338130472
Lynda Flix,9,False,22,70,29,False,0.3005978338130472
Sammy James,9,False,27,66,29,False,0.3005978338130472
Lauren Whiteside,2,False,25,65,37,False,0.25
Charlie Williams,4,False,24,67,26,False,0.3005978338130472
Dean Overson,4,True,25,73,26,False,0.3005978338130472
Idris Virgo,4,True,25,70,36,False,0.3005978338130472
Jordan Adefeyisan,4,True,23,70,26,False,0.3005978338130472
Kieran Nicholls,4,True,26,72,36,False,0.3005978338130472
Savanna Darnell,4,False,22,65,26,False,0.3005978338130472
Callum Macleod,5,True,28,72,1,False,0.25
Dan Rose,5,True,21,70,26,False,0.3005978338130472
Dennon Lewis,5,True,22,69,26,False,0.3005978338130472
Lavena Back,5,False,23,65,26,False,0.3005978338130472
Maria Wild,5,False,22,63,26,False,0.3005978338130472
Nabila Badda,5,False,29,66,26,False,0.3005978338130472
Stevie Bradley,5,True,21,72,26,False,0.3005978338130472
Cheyanne Kerr,8,False,23,67,27,False,0.3005978338130472
Jazmine Nichol,8,False,21,64,27,False,0.3005978338130472
Lacey Edwards,8,False,25,68,45,False,0.25
Liam Llewellyn,8,True,22,71,1,False,0.25
Mollie Salmon,8,False,23,66,27,False,0.3005978338130472
Nathalia Campos,8,False,23,71,45,False,0.25
Reece Ford,8,True,23,73,45,False,0.25
Bayley Mummery,9,False,25,71,28,False,0.3005978338130472
Frankie Davey,9,True,22,72,28,False,0.3005978338130472
Kain Reed,9,True,21,69,28,False,0.3005978338130472
Ryan Weekley,9,True,22,76,28,False,0.3005978338130472
Javi Shephard,2,True,27,71,1,False,0.3005978338130472
Chyna Ellis,3,False,22,64,26,False,0.2
Craig Lawson,3,True,27,73,26,False,0.2
Danielle Sellers,3,False,22,67,26,False,0.2
Harley Judge,3,True,22,70,1,False,0.2
Mike Thalassitis,3,True,24,74,12,False,0.4
Nathan Joseph,3,True,25,76,26,False,0.2
Charlie Frederick,4,True,23,73,8,False,0.2
Kendall Rae-Knight,4,False,26,66,1,False,0.4
Eve Gale,6,False,20,65,1,False,0.3005978338130472
Danny Bibby,7,True,25,71,18,False,0.2
